file_path,pst_id,column_length,cut_length,phi,cut_depth,rho_wl,E_wl,HH_wl,GT_wl,GS_wl,G,GIc,GIIc
data/snowpits/2019-2020/snowpits-21900-caaml.xml,0,1180.0,250.0,6,230.0,202.0738495144293,8.382200486413158,1F,RG,0.3,0.18565142233335868,0.15751382997017047,0.028137592363188222
data/snowpits/2019-2020/snowpits-21900-caaml.xml,2,1180.0,370.0,6,600.0,184.0,5.550242516693784,4F,FCxr,2.0,0.3900800452321928,0.3687648781771659,0.02131516705502691
data/snowpits/2019-2020/snowpits-19497-caaml.xml,0,1000.0,450.0,28,350.0,125.0,1.0127857821582387,F,SH,3.0,0.3131679372930992,0.3080914573057793,0.005076479987319894
data/snowpits/2019-2020/snowpits-18927-caaml.xml,0,1200.0,390.0,0.0,1010.0,210.0,9.928381016949693,F,DH,2.0,0.770313468358362,0.7569809827652293,0.013332485593132748
data/snowpits/2019-2020/snowpits-22244-caaml.xml,0,1000.0,450.0,0.0,950.0,260.0,25.409508808153134,1F,DH,6.0,1.7200873794479254,1.7127222162642453,0.007365163183680082
data/snowpits/2019-2020/snowpits-18442-caaml.xml,0,1000.0,450.0,30,770.0,158.0,2.8392571053874684,F,FC,4.0,0.6973846172678874,0.6912057384882763,0.006178878779611053
data/snowpits/2019-2020/snowpits-19129-caaml.xml,0,1000.0,300.0,20,700.0,210.0,9.928381016949693,F,DH,3.0,0.270276562052123,0.2688848450391696,0.0013917170129534163
data/snowpits/2019-2020/snowpits-19129-caaml.xml,1,1000.0,300.0,20,300.0,208.0,9.519019413471497,1F,,,0.17532501380694954,0.163050497261028,0.012274516545921554
data/snowpits/2019-2020/snowpits-19735-caaml.xml,0,1000.0,320.0,30,370.0,158.0,2.8392571053874684,F,FC,2.0,0.14030701319109953,0.14026541335728193,4.1599833817590046e-05
data/snowpits/2019-2020/snowpits-19735-caaml.xml,1,1000.0,300.0,30,450.0,210.0,9.928381016949693,F,DHch,2.0,0.13667496053102804,0.13476713783603872,0.0019078226949893104
data/snowpits/2019-2020/snowpits-20382-caaml.xml,0,1100.0,480.0,0.0,815.0,162.88,3.24587421255852,4F-,FCso,,1.1399316809449578,1.1184067939449878,0.021524886999969975
data/snowpits/2019-2020/snowpits-20382-caaml.xml,1,1100.0,540.0,0.0,815.0,162.88,3.24587421255852,4F-,FCso,,1.8015235064938488,1.7734467477412297,0.02807675875261916
data/snowpits/2019-2020/snowpits-20382-caaml.xml,2,1100.0,560.0,0.0,815.0,162.88,3.24587421255852,4F-,FCso,,2.114676282429104,2.084411757413049,0.030264525016054828
data/snowpits/2019-2020/snowpits-20576-caaml.xml,0,1040.0,500.0,2,300.0,158.0,2.8392571053874684,F,FC,1.0,2.2775293608274825,1.5134291418566397,0.7641002189708427
data/snowpits/2019-2020/snowpits-20576-caaml.xml,1,1040.0,260.0,2,520.0,120.0,0.8462740448617735,F,FCxr,1.5,0.20839326174686296,0.1951142520890722,0.013279009657790735
data/snowpits/2019-2020/snowpits-20576-caaml.xml,2,1040.0,500.0,2,1060.0,248.0,20.639583747787405,1F,FCxr,2.0,2.484515683991512,2.4813250970952243,0.00319058689628777
data/snowpits/2019-2020/snowpits-22390-caaml.xml,0,1000.0,500.0,30,1400.0,205.12,8.952591598486295,4F+,FCxr,1.0,4.007606280429441,3.8513982248580034,0.15620805557143722
