file_path,pst_id,column_length,cut_length,phi,rho_wl,E_wl,HH_wl,GT_wl,GS_wl,G,GIc,GIIc
data/snowpits/2019-2020/snowpits-23323-caaml.xml,0,1000.0,430.0,0.0,184.0,5.550242516693784,4F,FCsf,0.5,0.20585613922859738,0.1864910387821901,0.019365100446407307
data/snowpits/2019-2020/snowpits-18285-caaml.xml,0,1000.0,300.0,27,173.18,4.2511220527893325,F+,FC,2.5,0.8496858178893132,0.8462393668842271,0.0034464510050860684
data/snowpits/2019-2020/snowpits-22531-caaml.xml,0,1500.0,280.0,0.0,184.0,5.550242516693784,4F,FCso,1.0,0.10048435156048095,0.09539440820283858,0.0050899433576423745
data/snowpits/2019-2020/snowpits-21726-caaml.xml,0,1750.0,750.0,29,146.86,2.058206966008429,F+,RGlr,5.0,7.021721191741327,5.8791308942136675,1.1425902975276594
data/snowpits/2019-2020/snowpits-19768-caaml.xml,0,1000.0,400.0,25,204.0,8.73949373506776,4F,FC,1.0,1.0456389143064546,1.0259308520472967,0.019708062259157822
data/snowpits/2019-2020/snowpits-19752-caaml.xml,0,1000.0,350.0,25,158.0,2.8392571053874684,F,FC,,0.49877801667967187,0.49324544027699607,0.005532576402675807
data/snowpits/2019-2020/snowpits-19752-caaml.xml,1,1000.0,500.0,25,188.82,6.219059461655684,4F-,FC,,2.0940853685143517,2.0914248586351074,0.0026605098792440826
data/snowpits/2019-2020/snowpits-20663-caaml.xml,0,1000.0,200.0,19,125.0,1.0127857821582387,F-,SHsu,1.0,0.10489399662713303,0.08922549564078454,0.01566850098634849
data/snowpits/2019-2020/snowpits-18570-caaml.xml,1,1450.0,420.0,30,292.25,42.50435458798165,P,MFcr,,0.9060713674041795,0.8316356271142292,0.07443574028995027
data/snowpits/2019-2020/snowpits-19036-caaml.xml,0,1990.0,350.0,38,184.0,5.550242516693784,4F,FCxr,1.0,0.4381295461873323,0.43810284089172247,2.670529560983548e-05
data/snowpits/2019-2020/snowpits-23505-caaml.xml,0,1000.0,370.0,0.0,118.4,0.797739376138093,F+,,,0.61207532460907,0.6050144174232416,0.007060907185828382
data/snowpits/2019-2020/snowpits-23505-caaml.xml,1,1000.0,370.0,0.0,224.4,13.292727139966141,1F+,,,0.1418247266809625,0.11596673933463693,0.025857987346325568
data/snowpits/2019-2020/snowpits-17833-caaml.xml,0,1000.0,100.0,31,161.59510586007093,3.134711908056247,4F-,RG,0.5,0.020187152004668866,0.018512492326577916,0.0016746596780909508
